Wavelength,Intensity
247.3824872,1419.242344
247.5952284,1417.194375
247.8079604,1413.098438
248.0206833,1507.305
248.233397,1495.017188
248.4461016,1421.290313
248.6587969,1478.633438
248.8714832,1394.666719
249.0841602,1372.139063
249.2968281,1515.496875
249.5094868,1464.297656
249.7221363,1501.161094
249.9347766,1456.105781
250.1474078,1474.5375
250.3600298,1462.249688
250.5726425,1421.290313
250.7852461,1476.585469
250.9978405,1527.784688
251.2104257,1472.489531
251.4230017,1396.714688
251.6355685,1462.249688
251.8481261,1495.017188
252.0606745,1402.858594
252.2732137,1482.729375
252.4857436,1447.913906
252.6982644,1490.92125
252.9107759,1490.92125
253.1232782,1433.578125
253.3357713,1431.530156
253.5482552,1425.38625
253.7607298,1425.38625
253.9731952,1456.105781
254.1856514,1417.194375
254.3980983,1445.865938
254.610536,1447.913906
254.8229645,1417.194375
255.0353837,1388.522813
255.2477937,1452.009844
255.4601944,1460.201719
255.6725858,1445.865938
255.8849681,1482.729375
256.097341,1419.242344
256.3097047,1404.906563
256.5220591,1503.209063
256.7344043,1449.961875
256.9467402,1447.913906
257.1590669,1396.714688
257.3713842,1441.77
257.5836923,1509.352969
257.7959911,1505.257031
258.0082806,1472.489531
258.2205609,1484.777344
258.4328318,1447.913906
258.6450935,1462.249688
258.8573459,1447.913906
259.069589,1531.880625
259.2818228,1404.906563
259.4940473,1476.585469
259.7062625,1472.489531
259.9184683,1482.729375
260.1306649,1347.563438
260.3428522,1472.489531
260.5550302,1472.489531
260.7671988,1439.722031
260.9793581,1478.633438
261.1915082,1456.105781
261.4036488,1464.297656
261.6157802,1374.187031
261.8279022,1423.338281
262.0400149,1525.736719
262.2521183,1398.762656
262.4642124,1472.489531
262.6762971,1462.249688
262.8883724,1468.393594
263.1004384,1480.681406
263.3124951,1458.15375
263.5245424,1394.666719
263.7365804,1466.345625
263.948609,1454.057813
264.1606283,1431.530156
264.3726382,1421.290313
264.5846387,1488.873281
264.7966299,1427.434219
265.0086117,1423.338281
265.2205842,1454.057813
265.4325472,1505.257031
265.6445009,1462.249688
265.8564453,1499.113125
266.0683802,1466.345625
266.2803058,1495.017188
266.4922219,1429.482188
266.7041287,1458.15375
266.9160261,1478.633438
267.1279141,1492.969219
267.3397927,1439.722031
267.5516619,1480.681406
267.7635217,1468.393594
267.9753721,1452.009844
268.1872131,1431.530156
268.3990447,1449.961875
268.6108669,1372.139063
268.8226797,1472.489531
269.034483,1427.434219
269.246277,1499.113125
269.4580615,1415.146406
269.6698366,1445.865938
269.8816022,1443.817969
270.0933585,1503.209063
270.3051053,1468.393594
270.5168426,1423.338281
270.7285705,1452.009844
270.940289,1449.961875
271.1519981,1466.345625
271.3636977,1404.906563
271.5753878,1513.448906
271.7870685,1456.105781
271.9987398,1507.305
272.2104016,1499.113125
272.4220539,1499.113125
272.6336968,1417.194375
272.8453302,1402.858594
273.0569541,1437.674063
273.2685686,1415.146406
273.4801736,1492.969219
273.6917691,1482.729375
273.9033552,1497.065156
274.1149318,1458.15375
274.3264989,1454.057813
274.5380565,1435.626094
274.7496046,1460.201719
274.9611432,1425.38625
275.1726724,1347.563438
275.384192,1484.777344
275.5957022,1443.817969
275.8072028,1468.393594
276.018694,1425.38625
276.2301756,1470.441563
276.4416477,1411.050469
276.6531104,1509.352969
276.8645635,1482.729375
277.0760071,1443.817969
277.2874411,1435.626094
277.4988657,1554.408281
277.7102807,1445.865938
277.9216862,1388.522813
278.1330822,1368.043125
278.3444687,1386.474844
278.5558456,1458.15375
278.7672129,1382.378906
278.9785708,1402.858594
279.1899191,1439.722031
279.4012578,1484.777344
279.612587,1439.722031
279.8239067,1458.15375
280.0352168,1460.201719
280.2465173,1533.928594
280.4578083,1427.434219
280.6690897,1402.858594
280.8803616,1390.570781
281.0916239,1435.626094
281.3028766,1394.666719
281.5141198,1431.530156
281.7253534,1415.146406
281.9365774,1486.825313
282.1477918,1456.105781
282.3589967,1439.722031
282.5701919,1419.242344
282.7813776,1447.913906
282.9925537,1456.105781
283.2037202,1458.15375
283.4148771,1468.393594
283.6260244,1478.633438
283.8371621,1454.057813
284.0482903,1427.434219
284.2594088,1447.913906
284.4705177,1499.113125
284.6816169,1447.913906
284.8927066,1396.714688
285.1037867,1480.681406
285.3148571,1419.242344
285.5259179,1439.722031
285.7369691,1464.297656
285.9480107,1435.626094
286.1590427,1458.15375
286.370065,1474.5375
286.5810777,1413.098438
286.7920807,1482.729375
287.0030741,1470.441563
287.2140579,1470.441563
287.425032,1472.489531
287.6359965,1470.441563
287.8469513,1449.961875
288.0578965,1476.585469
288.268832,1435.626094
288.4797579,1431.530156
288.6906741,1468.393594
288.9015806,1413.098438
289.1124775,1472.489531
289.3233647,1454.057813
289.5342422,1423.338281
289.7451101,1427.434219
289.9559683,1454.057813
290.1668168,1443.817969
290.3776556,1474.5375
290.5884848,1454.057813
290.7993042,1478.633438
291.010114,1470.441563
291.2209141,1488.873281
291.4317045,1392.61875
291.6424852,1456.105781
291.8532562,1499.113125
