Wavelength,Intensity
178.634,14.33578125
178.8495446,33930.74625
179.065081,1361.899219
179.280609,1368.043125
179.4961287,1357.803281
179.71164,1382.378906
179.9271431,1433.578125
180.1426378,1437.674063
180.3581242,1413.098438
180.5736022,1380.330938
180.7890719,1421.290313
181.0045333,1460.201719
181.2199864,1425.38625
181.435431,1472.489531
181.6508674,1320.939844
181.8662954,1478.633438
182.081715,1439.722031
182.2971263,1402.858594
182.5125293,1474.5375
182.7279238,1433.578125
182.94331,1415.146406
183.1586879,1417.194375
183.3740574,1380.330938
183.5894185,1370.091094
183.8047712,1396.714688
184.0201156,1443.817969
184.2354516,1427.434219
184.4507792,1409.0025
184.6660984,1470.441563
184.8814092,1452.009844
185.0967117,1458.15375
185.3120057,1437.674063
185.5272914,1400.810625
185.7425687,1443.817969
185.9578375,1454.057813
186.173098,1361.899219
186.38835,1431.530156
186.6035937,1486.825313
186.818829,1462.249688
187.0340558,1470.441563
187.2492742,1382.378906
187.4644842,1474.5375
187.6796858,1452.009844
187.894879,1460.201719
188.1100637,1347.563438
188.32524,1499.113125
188.5404079,1458.15375
188.7555673,1409.0025
188.9707183,1376.235
189.1858609,1437.674063
189.4009951,1507.305
189.6161207,1433.578125
189.831238,1472.489531
190.0463468,1441.77
190.2614471,1359.85125
190.476539,1486.825313
190.6916225,1460.201719
190.9066974,1423.338281
191.1217639,1421.290313
191.336822,1458.15375
191.5518716,1384.426875
191.7669127,1447.913906
191.9819453,1503.209063
192.1969695,1503.209063
192.4119852,1466.345625
192.6269924,1433.578125
192.8419911,1486.825313
193.0569814,1423.338281
193.2719631,1458.15375
193.4869364,1417.194375
193.7019012,1466.345625
193.9168575,1439.722031
194.1318052,1501.161094
194.3467445,1447.913906
194.5616753,1429.482188
194.7765976,1478.633438
194.9915113,1507.305
195.2064166,1488.873281
195.4213133,1449.961875
195.6362015,1458.15375
195.8510812,1421.290313
196.0659524,1492.969219
196.2808151,1441.77
196.4956692,1495.017188
196.7105148,1472.489531
196.9253519,1447.913906
197.1401804,1484.777344
197.3550004,1421.290313
197.5698118,1433.578125
197.7846147,1480.681406
197.9994091,1447.913906
198.2141949,1488.873281
198.4289722,1427.434219
198.6437409,1441.77
198.8585011,1548.264375
199.0732527,1452.009844
199.2879957,1480.681406
199.5027302,1392.61875
199.7174561,1402.858594
199.9321734,1425.38625
200.1468822,1427.434219
200.3615824,1386.474844
200.576274,1519.592813
200.7909571,1458.15375
201.0056315,1507.305
201.2202974,1462.249688
201.4349547,1431.530156
201.6496034,1443.817969
201.8642435,1382.378906
202.078875,1347.563438
202.2934979,1490.92125
202.5081122,1447.913906
202.722718,1423.338281
202.9373151,1417.194375
203.1519036,1402.858594
203.3664834,1417.194375
203.5810547,1437.674063
203.7956174,1398.762656
204.0101714,1427.434219
204.2247168,1378.282969
204.4392536,1421.290313
204.6537818,1449.961875
204.8683013,1505.257031
205.0828122,1449.961875
205.2973145,1495.017188
205.5118082,1415.146406
205.7262932,1509.352969
205.9407695,1443.817969
206.1552372,1505.257031
206.3696963,1441.77
206.5841467,1484.777344
206.7985885,1441.77
207.0130216,1427.434219
207.227446,1396.714688
207.4418618,1501.161094
207.6562689,1427.434219
207.8706674,1425.38625
208.0850572,1365.995156
208.2994383,1439.722031
208.5138108,1454.057813
208.7281745,1511.400938
208.9425296,1482.729375
209.156876,1464.297656
209.3712138,1406.954531
209.5855428,1449.961875
209.7998632,1376.235
210.0141748,1441.77
210.2284778,1427.434219
210.4427721,1439.722031
210.6570576,1388.522813
210.8713345,1474.5375
211.0856027,1411.050469
211.2998621,1476.585469
211.5141129,1415.146406
211.7283549,1433.578125
211.9425882,1447.913906
212.1568128,1478.633438
212.3710287,1425.38625
212.5852359,1396.714688
212.7994343,1349.611406
213.013624,1454.057813
213.227805,1474.5375
213.4419772,1517.544844
213.6561407,1429.482188
213.8702955,1447.913906
214.0844415,1482.729375
214.2985788,1423.338281
214.5127073,1421.290313
214.7268271,1409.0025
214.9409381,1452.009844
215.1550404,1398.762656
215.3691339,1421.290313
215.5832187,1392.61875
215.7972947,1472.489531
216.0113619,1421.290313
216.2254204,1429.482188
216.4394701,1482.729375
216.653511,1421.290313
216.8675432,1497.065156
217.0815665,1384.426875
217.2955811,1490.92125
217.5095869,1421.290313
217.7235839,1423.338281
217.9375722,1419.242344
218.1515516,1447.913906
218.3655223,1343.4675
218.5794841,1417.194375
218.7934372,1464.297656
219.0073814,1435.626094
219.2213169,1388.522813
219.4352435,1454.057813
219.6491613,1441.77
219.8630703,1452.009844
220.0769705,1441.77
220.2908619,1490.92125
220.5047445,1542.120469
220.7186182,1445.865938
220.9324832,1454.057813
221.1463392,1437.674063
221.3601865,1460.201719
221.5740249,1466.345625
221.7878545,1449.961875
222.0016753,1521.640781
222.2154872,1447.913906
222.4292903,1415.146406
222.6430845,1402.858594
222.8568699,1404.906563
223.0706464,1404.906563
223.2844141,1499.113125
223.4981729,1421.290313
223.7119228,1458.15375
223.9256639,1441.77
224.1393961,1456.105781
224.3531195,1441.77
224.566834,1507.305
224.7805396,1501.161094
224.9942364,1480.681406
225.2079242,1325.035781
225.4216032,1437.674063
225.6352733,1404.906563
225.8489345,1462.249688
226.0625869,1437.674063
226.2762303,1437.674063
226.4898649,1466.345625
226.7034905,1456.105781
226.9171073,1460.201719
227.1307151,1423.338281
227.3443141,1437.674063
227.5579041,1452.009844
227.7714852,1435.626094
227.9850575,1357.803281
228.1986208,1468.393594
228.4121752,1431.530156
228.6257206,1443.817969
228.8392572,1435.626094
229.0527848,1468.393594
229.2663035,1456.105781
229.4798133,1488.873281
229.6933141,1435.626094
229.906806,1429.482188
230.120289,1433.578125
230.333763,1478.633438
230.5472281,1468.393594
230.7606842,1394.666719
230.9741314,1480.681406
231.1875697,1505.257031
231.400999,1400.810625
231.6144193,1472.489531
231.8278307,1386.474844
232.0412331,1476.585469
232.2546265,1384.426875
232.468011,1437.674063
232.6813865,1439.722031
232.894753,1419.242344
233.1081106,1435.626094
233.3214592,1404.906563
233.5347988,1435.626094
233.7481294,1478.633438
233.9614511,1427.434219
234.1747637,1421.290313
234.3880674,1390.570781
234.6013621,1368.043125
234.8146477,1458.15375
235.0279244,1511.400938
235.2411921,1427.434219
235.4544508,1396.714688
235.6677005,1449.961875
235.8809411,1445.865938
236.0941728,1449.961875
236.3073954,1439.722031
236.520609,1411.050469
236.7338136,1406.954531
236.9470092,1449.961875
237.1601958,1447.913906
237.3733733,1478.633438
237.5865418,1398.762656
237.7997013,1503.209063
238.0128517,1447.913906
238.2259931,1386.474844
238.4391255,1460.201719
238.6522488,1456.105781
238.8653631,1482.729375
239.0784683,1363.947188
239.2915645,1441.77
239.5046516,1427.434219
239.7177297,1388.522813
239.9307987,1468.393594
240.1438586,1468.393594
240.3569095,1452.009844
240.5699513,1400.810625
240.7829841,1511.400938
240.9960078,1394.666719
241.2090224,1499.113125
241.4220279,1417.194375
241.6350243,1503.209063
241.8480117,1474.5375
242.06099,1415.146406
242.2739592,1470.441563
242.4869193,1437.674063
242.6998703,1433.578125
242.9128123,1447.913906
243.1257451,1388.522813
243.3386688,1402.858594
243.5515834,1490.92125
243.764489,1488.873281
243.9773854,1392.61875
244.1902727,1464.297656
244.4031509,1380.330938
244.6160199,1460.201719
244.8288799,1404.906563
245.0417307,1439.722031
245.2545724,1452.009844
245.467405,1533.928594
245.6802285,1447.913906
245.8930428,1513.448906
246.105848,1497.065156
246.3186441,1464.297656
246.531431,1423.338281
246.7442088,1501.161094
246.9569774,1523.68875
247.1697369,1474.5375
247.3824872,1411.050469
247.5952284,1443.817969
247.8079604,1447.913906
248.0206833,1398.762656
248.233397,1411.050469
248.4461016,1466.345625
248.6587969,1460.201719
248.8714832,1441.77
249.0841602,1417.194375
249.2968281,1474.5375
249.5094868,1411.050469
249.7221363,1474.5375
249.9347766,1447.913906
250.1474078,1478.633438
250.3600298,1398.762656
250.5726425,1445.865938
250.7852461,1484.777344
250.9978405,1486.825313
251.2104257,1486.825313
251.4230017,1484.777344
251.6355685,1421.290313
251.8481261,1484.777344
252.0606745,1402.858594
252.2732137,1486.825313
252.4857436,1478.633438
252.6982644,1460.201719
252.9107759,1460.201719
253.1232782,1445.865938
253.3357713,1486.825313
253.5482552,1359.85125
253.7607298,1439.722031
253.9731952,1441.77
254.1856514,1429.482188
254.3980983,1480.681406
254.610536,1437.674063
254.8229645,1423.338281
255.0353837,1431.530156
255.2477937,1492.969219
255.4601944,1519.592813
255.6725858,1417.194375
255.8849681,1499.113125
256.097341,1431.530156
256.3097047,1486.825313
256.5220591,1445.865938
256.7344043,1425.38625
256.9467402,1423.338281
257.1590669,1415.146406
257.3713842,1423.338281
257.5836923,1402.858594
257.7959911,1470.441563
258.0082806,1478.633438
258.2205609,1470.441563
258.4328318,1425.38625
258.6450935,1472.489531
258.8573459,1419.242344
259.069589,1470.441563
259.2818228,1452.009844
259.4940473,1495.017188
259.7062625,1472.489531
259.9184683,1464.297656
260.1306649,1390.570781
260.3428522,1443.817969
260.5550302,1406.954531
260.7671988,1476.585469
260.9793581,1429.482188
261.1915082,1429.482188
261.4036488,1460.201719
261.6157802,1417.194375
261.8279022,1435.626094
262.0400149,1497.065156
262.2521183,1445.865938
262.4642124,1470.441563
262.6762971,1409.0025
262.8883724,1421.290313
263.1004384,1435.626094
263.3124951,1478.633438
263.5245424,1458.15375
263.7365804,1462.249688
263.948609,1474.5375
264.1606283,1411.050469
264.3726382,1409.0025
264.5846387,1499.113125
264.7966299,1521.640781
265.0086117,1431.530156
265.2205842,1445.865938
265.4325472,1474.5375
265.6445009,1488.873281
265.8564453,1421.290313
266.0683802,1470.441563
266.2803058,1499.113125
266.4922219,1423.338281
266.7041287,1472.489531
266.9160261,1409.0025
267.1279141,1501.161094
267.3397927,1421.290313
267.5516619,1468.393594
267.7635217,1513.448906
267.9753721,1484.777344
268.1872131,1392.61875
268.3990447,1486.825313
268.6108669,1409.0025
268.8226797,1411.050469
269.034483,1447.913906
269.246277,1382.378906
269.4580615,1443.817969
269.6698366,1445.865938
269.8816022,1402.858594
270.0933585,1484.777344
270.3051053,1413.098438
270.5168426,1437.674063
270.7285705,1394.666719
270.940289,1423.338281
271.1519981,1445.865938
271.3636977,1454.057813
271.5753878,1466.345625
271.7870685,1511.400938
271.9987398,1398.762656
272.2104016,1466.345625
272.4220539,1429.482188
272.6336968,1476.585469
272.8453302,1423.338281
273.0569541,1509.352969
273.2685686,1470.441563
273.4801736,1492.969219
273.6917691,1445.865938
273.9033552,1464.297656
274.1149318,1419.242344
274.3264989,1495.017188
274.5380565,1400.810625
274.7496046,1449.961875
274.9611432,1415.146406
275.1726724,1478.633438
275.384192,1423.338281
275.5957022,1462.249688
275.8072028,1497.065156
276.018694,1443.817969
276.2301756,1507.305
276.4416477,1376.235
276.6531104,1454.057813
276.8645635,1413.098438
277.0760071,1339.371563
277.2874411,1431.530156
277.4988657,1433.578125
277.7102807,1519.592813
277.9216862,1349.611406
278.1330822,1413.098438
278.3444687,1402.858594
278.5558456,1468.393594
278.7672129,1409.0025
278.9785708,1490.92125
279.1899191,1486.825313
